OrderId,OrderItemId,ProductType,ProductItem,ProductPeriod,ProductDetails,ProductStorage,Quantity,OrderTotal,OrderDate,ProductPeriod1,ProductPeriod2,PartnerName,PartnerGeoLat,PartnerGeoLon,FoodCattegory,ProductItem1,ProductItem2,ProductItem3,ProductItem4,ProductItem5
20051,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,105,2000,1/11/2021,2,months,FoodieLand,-27.40969,153.06519,"L4 - Meat, Fish, Milk, Eggs",Cheese, processed slices,,,
20051,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,110,2000,1/11/2021,5,weeks,FoodieLand,-27.40969,153.06519,"L4 - Meat, Fish, Milk, Eggs",Eggs, in shell,,,
20051,3,DIARY,Margarine,12 months,,FROZEN,135,2000,1/11/2021,12,months,FoodieLand,-27.40969,153.06519,"L4 - Meat, Fish, Milk, Eggs",Margarine,,,,
20051,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,140,2000,1/11/2021,1,week,FoodieLand,-27.40969,153.06519,"L4 - Meat, Fish, Milk, Eggs",Milk, plain or flavored,,,
20051,5,SOY,Tofu,1 week,,REFRIGERATED,105,2000,1/11/2021,1,week,FoodieLand,-27.40969,153.06519,"L4 - Meat, Fish, Milk, Eggs",Tofu,,,,
20051,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,115,2000,1/11/2021,1,week,FoodieLand,-27.40969,153.06519,"L4 - Meat, Fish, Milk, Eggs",Bacon,,,,
20051,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,145,2000,1/11/2021,9,months,FoodieLand,-27.40969,153.06519,"L4 - Meat, Fish, Milk, Eggs",Ham," canned (""keep refrigerated"" label)",,,
20051,8,FRUIT,Apples,1-2 days,,SHELF,110,2000,1/11/2021,2,days,FoodieLand,-27.40969,153.06519,L3 - Fruits,Apples,,,,
20051,9,FRUIT,Bananas,Until ripe,,SHELF,135,2000,1/11/2021,0,ripe,FoodieLand,-27.40969,153.06519,L3 - Fruits,Bananas,,,,
20051,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,100,2000,1/11/2021,0,ripe,FoodieLand,-27.40969,153.06519,L2 - Vegetables,Tomatoes,,,,
20051,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,145,2000,1/11/2021,2,years,FoodieLand,-27.40969,153.06519,"L1 - Bread, Cereal, Pasta",Rice, white or wild,,,
20051,12,DELI_ITEM,Pudding,Package date,unopened,REFRIGERATED,105,2000,1/11/2021,0,date,FoodieLand,-27.40969,153.06519,"L5 - Fat, oil, Sugar, Sweets",Pudding,,,,
20051,13,DIARY,"Eggs, hard cooked",,Do not freeze,FROZEN,115,2000,1/11/2021,0,0,FoodieLand,-27.40969,153.06519,"L4 - Meat, Fish, Milk, Eggs",Eggs, hard cooked,,,
